shipped_on,brief_id,title,instrument,raga,views,avd_pct,avd_tier,format,family,lead_type,slot_count,title_length,short_form,lead_hook
2026-04-20,PCshMQuu41I,ADHD Brain Fog Music | Sitar + 40Hz Gamma | 1 Hour Focus,Sitar,,110,10.47,TIER_C (<15%),seo_stacked,focus,clinical_curiosity,3,56,False,ADHD Brain Fog Music
2026-04-11,62FI6ji47L8,Emotional Release | Violin & 40Hz Gamma Waves | 1 Hour Emotional Healing Music,,,108,12.74,TIER_C (<15%),other,healing,other,3,78,False,Emotional Release
2026-04-13,dyb6inFSyik,Tabla Music for Morning Focus & Motivation | 40Hz Gamma Energy,,,105,11.34,TIER_C (<15%),minimal_2slot,focus,seo_descriptor,2,62,False,Tabla Music for Morning Focus & Motivation
2026-04-11,3TayWGNOyrY,Digital Detox Music | Dilruba Strings | Neural Rest | 1 Hour,Dilruba,,96,14.84,TIER_C (<15%),seo_stacked,other,clinical_curiosity,4,60,False,Digital Detox Music
2026-04-07,bM4M5T6wW48,Brain Fog? | Think Clearly with Sarangi 40Hz Gamma | 1 Hour,Sarangi,,76,10.42,TIER_C (<15%),q_hook,focus,q_hook,3,59,False,Brain Fog?
2026-04-09,LMnHS9drakg,Cello for Creative Flow | 20 Min Focus | 6Hz Theta Waves,,,72,14.92,TIER_C (<15%),instrument_for_outcome,focus,instrument_for_outcome_lead,3,56,True,Cello for Creative Flow
2026-04-19,4jtrdy4lfQU,Let Go Before Sleep | 40 Min Tanpura Drone for Insomnia & Calm,Tanpura,,66,17.05,TIER_B (15-22%),imperative_action,sleep,imperative,2,62,True,Let Go Before Sleep
2026-04-12,DT0vCc17EGk,Burnout Music | Tanpura & Delta Waves | Nervous System Reset | 1 Hour,Tanpura,,55,20.74,TIER_B (15-22%),seo_stacked,reset,seo_descriptor,4,69,False,Burnout Music
2026-04-13,8XDHxadprKs,Acoustic Guitar Instrumental | 1 Hour Warm Gentle Music | 40Hz Gamma waves,,,51,5.26,TIER_C (<15%),other,calm,other,3,74,False,Acoustic Guitar Instrumental
2026-04-08,aaaQjaYIiAg,Can't Focus? | 10 Min Deep Work Session | Raga-Inspired Piano Music,,,51,39.82,TIER_S (28%+),q_hook,focus,q_hook,3,67,True,Can't Focus?
2026-04-06,o71DBMDTHyc,Mindful Music | Relaxation | 40Hz Gamma Binaural Beats,,,48,15.25,TIER_B (15-22%),seo_stacked,calm,seo_descriptor,3,54,False,Mindful Music
2026-04-14,sGmvP8MMitg,Deep Work Music for Strategic Thinking | Bamboo Flute + 40Hz Gamma Binaural Beats for Focus,Bansuri,,44,8.59,TIER_C (<15%),minimal_2slot,focus,seo_descriptor,2,91,False,Deep Work Music for Strategic Thinking
2026-04-10,1zXHn2Bpmms,Overcome Procrastination | Esraj Music | Start working now,Esraj,,43,5.13,TIER_C (<15%),imperative_action,other,imperative,3,58,False,Overcome Procrastination
2026-04-17,LZ8FJoKp1TA,Anxiety Relief Music | Sitar & Alpha Waves | 1 Hour Session,Sitar,,41,8.6,TIER_C (<15%),seo_stacked,anxiety_stress,seo_descriptor,3,59,False,Anxiety Relief Music
2026-04-16,0tbB-bD6wz0,Bansuri for Anxiety & Overthinking 🌿 | Mind Too Loud | 528Hz,Bansuri,,34,10.85,TIER_C (<15%),instrument_for_outcome,anxiety_stress,instrument_for_outcome_lead,3,60,False,Bansuri for Anxiety & Overthinking 🌿
2026-04-18,9xnTYcsyDig,Jet Lag Recovery | Sarod Echoes & 4.5Hz Theta | 1 Hour Session,Sarod,,26,6.0,TIER_C (<15%),clinical_curiosity,reset,clinical_curiosity,3,62,False,Jet Lag Recovery
2026-04-14,FQdazFAHWOo,Overthinking? Trust Your Gut | Swaramandal Delta Waves for Intuition Awakening,,,26,2.52,TIER_C (<15%),q_hook,anxiety_stress,q_hook,2,78,False,Overthinking? Trust Your Gut
