Suno Workspace,Prompt,,Video Title,Views,Suno Prompt
Tanpura sleep music,"Instrumental only, no vocals, Solo tanpura drone in raga Yaman, deep evening sleep mood, slow continuous drone with subtle harmonic shifts between tonic and fifth, no percussion, no tabla, no melodic lead instruments, 174Hz tuning, 55-60 BPM contemplative tempo, sustained drone-resolution texture with natural breathing pauses, cinematic meditation production, hypnotic and grounding, suitable for extended looping in post-production, begins immediately with the full drone already in motion, no fade-in, no silent intro, full sonic presence from first note, deeply settled, like a body finally surrendering to rest, ‑No vocals",,Sitar for Brain Detox | Clear Your Mind | 1.5 Hours of Indian Classical Music,"9,728","Deeply calming Indian classical instrumental with expressive sitar melodies, soft tanpura drone, gentle tabla textures, ambient healing atmosphere, slow meditative tempo, emotional ragas for mental clarity and stress relief, peaceful transitions, spiritual and cinematic soundscape, designed for deep focus, brain detox, relaxation, mindfulness, yoga, and late-night listening, Smooth evolving arrangement with no vocals"
Surbahar healing music,"Instrumental only, no vocals, Solo surbahar in raga Darbari Kanada, deep evening rest mood, slow contemplative tempo with sustained low resonant notes, no percussion, no tabla, no melodic lead instruments other than surbahar, 432Hz tuning, 65-70 BPM very slow tempo, deep meend slides and gamak ornamentation with long pauses, cinematic meditation production, deeply grounding, suitable for extended looping in post-production, begins immediately with surbahar already playing, no fade-in, no silent intro, full sonic presence from first note, deeply settled, like a body finally surrendering to rest, ‑No vocals",,Calm Music | Sitar for Cortisol Reset | 1.5 hours healing,"8,351","instrumental only, no vocal, Slow contemplative Indian classical sitar solo in raga Bhairavi, deep grounding morning healing mood, seven-string plucked instrument with characteristic meend glissando slides and subtle gamak ornamentation, sustained drone-resolving phrases with natural breathing pauses, no percussion, no tabla, no rhythmic instruments, 432Hz tuning, very slow tempo around 55-60 BPM, seamless ambient texture with consistent dynamics suitable for extended looping in post-production"
Sarod mental clarity music,"Instrumental only, no vocals, Indian classical sarod solo in raga Bilawal, bright clear focus mood, fretless plucked instrument with characteristic clean staccato articulation and bright plucked notes with subtle slide ornamentation, sustained drone-resolving phrases with natural breathing pauses, no percussion, no tabla, 432Hz tuning, 70-80 BPM, expressive melodic phrases with clear note movement and natural phrasing, cinematic meditation production, meditative but melodic, suitable for extended looping, begins immediately with first melodic phrase already in motion, no fade-in, no silent intro, full sonic presence from first note, deeply introspective, like breath held before release",,Joyful Music | Positive Vibes Music with Santoor | 1 Hour,"8,270","Bright and uplifting Indian instrumental with expressive santoor melodies, soft tabla grooves, warm tanpura drone, gentle flute textures, light acoustic percussion, and positive flowing rhythms. Joyful morning energy, peaceful yet motivational mood, smooth transitions, relaxing melodic variations, cinematic ambient background, ideal for focus, meditation, yoga, study, stress relief, and positive vibes. High-quality calming production, no vocals."
Restless mind music,"Instrumental only, no vocals, Create an uplifting yet calming Indian ambient instrumental in Chandra Raga featuring expressive Santoor as the lead instrument, Warm 210Hz healing resonance, gentle rhythmic pulse, soft tanpura drone, subtle tabla textures, and airy pads, Mood should feel emotionally soothing for overthinking minds while maintaining positive forward energy, Smooth transitions, cinematic depth, peaceful nighttime atmosphere, meditation and focus friendly",,Comfort Music | Healing Music with Sarangi | 1 Hour,"7,567","Sarangi-led Indian classical ambient in Raga Bhairavi, slow tempo, deeply emotional, and soothing, Expressive bowed sarangi like a human voice, gentle tanpura drone, soft ambient pads, Tuned to 432Hz with a subtle 6Hz theta wave, Gradual progression, spacious, no percussion, calming, healing, introspective, ideal for relaxation, stress relief, evening meditation, STRICTLY no vocals, no humming, ‑no vocals"
Brain detox music,"Deeply calming Indian classical instrumental with expressive sitar melodies, soft tanpura drone, gentle tabla textures, ambient healing atmosphere, slow meditative tempo, emotional ragas for mental clarity and stress relief, peaceful transitions, spiritual and cinematic soundscape, designed for deep focus, brain detox, relaxation, mindfulness, yoga, and late-night listening, Smooth evolving arrangement with no vocals",,Anxiety Relief Music | Clear Your Mind | 1 Hour Dilruba Session,"6,336","Meditative Indian ambient in Raga Yaman featuring expressive dilruba, tuned to 174Hz healing frequency with gentle alpha wave atmosphere, Slow tempo, soft tanpura drone, subtle harmonic textures, deep calming mood for anxiety relief, Evolving phrases, no repetition, smooth transitions, spacious soundscape, emotionally soothing and introspective"
Mental stillness music,"Deeply calming Indian instrumental meditation music led by expressive santoor melodies, soft tanpura drone, gentle swarmandal textures, subtle temple bells, warm ambient pads, and light rhythmic pulses, Slow evolving composition for mental stillness, inner peace, stress relief, meditation, yoga, focus, and deep relaxation, Minimal arrangement, spacious mix, emotionally soothing, cinematic spiritual atmosphere, natural transitions, no vocals, no flute, no bansuri",,Calm Your Mind | Veena Healing Music | 1 hour,"5,567","Meditative Indian classical veena, slow raga phrases in Raga Yaman, 60 BPM, soft tanpura drone underneath, gentle reverb, warm and spacious, deep stillness, evening mood, sacred and ancient feeling, long sustains between notes, soft harmonic overtones, smooth seamless loop, ambient instrumental, healing and grounding, 432Hz tuning, no vocals, no humming, no singing, no voice, purely instrumental"
Morning meditation music,"Instrument only, no vocals, Upbeat Indian morning meditation instrumental with warm tanpura drone, soft sitar plucks, gentle Santoor textures, light rhythmic tabla pulses, serene ambient pads, peaceful sunrise energy, calming yet uplifting mood, smooth evolving arrangement, spiritual yoga retreat atmosphere, relaxing meditation flow, natural transitions, deep focus and mindfulness vibe, high-quality cinematic production, no vocals, no bansuri, soothing and immersive soundscape",,Release Stress | Burnout Music | Santoor & 528Hz,"5,464","Deep therapeutic Surbahar meditation with ultra-slow evolving Indian drone textures, warm tanpura ambience, soft low-frequency resonance, gentle analog pads, sparse bamboo flute accents, subtle temple bell shimmer, calming nervous system atmosphere, restorative burnout recovery mood, spacious cinematic mix, minimal percussion, 60 BPM, deeply immersive and meditative, smooth continuous flow for 1 hour, healing ambient raga soundscape, no vocals, no chanting, no spoken words, ‑NO HUMAN VOICE"
Deep relaxation music,"Instrument only, no voclas, Warm and immersive Indian instrumental featuring deep Surbahar melodies, soft tanpura drone, subtle tabla grooves, gentle rhythmic pulse, meditative yet uplifting atmosphere, rich cinematic textures, smooth transitions, slow emotional build, serene midnight raga mood, calming but slightly upbeat energy for deep relaxation, focus, yoga, meditation, stress relief, and peaceful long listening sessions, No vocals, no bansuri",,,,
Morning reset music,"Instrumental only, no vocals, Bright morning Indian instrumental with expressive sarod lead, light tabla groove, warm tanpura drone, soft acoustic percussion, subtle ambient textures, uplifting and refreshing mood, steady flowing rhythm, gentle melodic variations, peaceful yet motivating energy for focus, morning reset, clear mind, calm productivity, cinematic spiritual atmosphere, clean mix, smooth transitions, no vocals, no bansuri, 90 BPM",,,,
Restless mind music,"Instrumental only, no vocals, Warm, uplifting Indian instrumental with expressive slow veena lead, gentle rhythmic percussion, soft tanpura drone, subtle sitar textures, deep ambient pads, relaxed mid-tempo groove, emotional yet calming energy, designed for mental reset, restless thoughts relief, late night focus, healing meditation, smooth transitions, cinematic spiritual atmosphere, rich analog warmth, evolving layers, no vocals, no bansuri, immersive long-form flow",,,,
Stress relief music,"Instrument only, no vocals, Energetic yet calming Indian instrumental featuring rich Santoor melodies, soft tabla grooves, tanpura drone, light sitar textures, gentle rhythmic percussion, uplifting classical fusion vibe, stress relief atmosphere, smooth melodic progressions, warm ambient layers, flowing transitions, positive and refreshing mood, relaxing but not sleepy, clean production, cinematic spiritual energy, perfect for focus, relaxation, yoga, meditation, and peaceful work sessions",,,,
Inner peace music,"Instrument only, no vocals, Uplifting Indian healing instrumental with expressive sarangi lead, soft sitar textures, gentle rhythmic tabla grooves, warm tanpura drone, subtle hand percussion, flowing melodic progressions, peaceful yet lightly energetic mood, spiritual sunrise atmosphere, emotional and calming transitions, meditation and focus friendly, rich ambient layers, cinematic healing vibe, smooth continuous flow, relaxing but not sleepy, high-quality spiritual world music",,,,
Positive morning music,"Instrumental only, no vocals, Bright and uplifting Indian instrumental with energetic sitar melodies, warm tanpura drone, light tabla grooves, soft acoustic percussion, gentle rhythmic strings, and subtle ambient textures, Positive sunrise mood, fresh morning energy, peaceful yet motivating flow, smooth transitions, clean melodic phrasing, relaxing spiritual atmosphere for focus, meditation, yoga, and mindful mornings, No vocals, no bansuri",,,,
